cod_ibge;ano;nascidosvivos;popfem_15a49anos;populacao
3515657;2001;11;356;1443
3515707;2001;3052;42138;144791
3515806;2001;26;524;2137
3515905;2001;35;834;3212
3516002;2001;150;2842;11294
3516101;2001;50;862;3106
3516200;2001;5158;82460;290882
3516309;2001;2832;38252;135332
3516408;2001;2180;30495;110344
3516507;2001;20;716;2727
3516606;2001;108;1974;7801
3516705;2001;677;11700;43274
3516804;2001;43;974;3647
3516853;2001;57;1047;4148
3516903;2001;95;2913;10820
3517000;2001;124;2421;10417
3517109;2001;58;1148;4437
3517208;2001;169;2516;9354
3517307;2001;106;1361;5249
3517406;2001;507;9761;34864
3517505;2001;170;4018;14416
3517604;2001;423;4805;19615
3517703;2001;330;5139;19008
3517802;2001;114;2342;8870
3517901;2001;129;2301;8942
3518008;2001;24;509;2004
3518107;2001;116;1652;6344
3518206;2001;423;8010;29067
3518305;2001;474;5996;22307
3518404;2001;1719;29924;105146
3518503;2001;179;2667;10639
3518602;2001;597;8763;31530
3518701;2001;5399;77623;267419
3518800;2001;22027;322516;1086538
3518859;2001;109;1660;6437
3518909;2001;60;1133;4348
3519006;2001;121;2134;8069
3519055;2001;170;2226;7609
3519071;2001;2746;45478;156041
3519105;2001;123;2223;8447
3519204;2001;82;1786;6753
3519253;2001;71;812;3376
3519303;2001;464;7333;26850
3519402;2001;109;2515;9580
3519501;2001;88;1462;5794
3519600;2001;614;13185;47222
3519709;2001;1249;17099;65079
3519808;2001;118;1832;6837
3519907;2001;105;1904;7309
3520004;2001;350;6450;22697
3520103;2001;364;7165;26074
3520202;2001;170;2203;8361
3520301;2001;539;6868;27664
3520400;2001;473;5979;21502
3520426;2001;90;1823;6883
3520442;2001;294;7257;24134
3520509;2001;2484;43843;152040
3520608;2001;57;1283;4924
3520707;2001;61;1057;4060
3520806;2001;37;872;3347
3520905;2001;207;3322;12687
3521002;2001;294;4901;19276
3521101;2001;67;1181;4492
3521150;2001;49;930;3566
3521200;2001;68;1056;4544
3521309;2001;209;3294;12070
3521408;2001;209;4505;15939
3521507;2001;80;1767;6719
3521606;2001;77;1841;7499
3521705;2001;334;4880;18844
3521804;2001;361;5658;21305
3521903;2001;144;3840;14259
3522000;2001;25;675;2694
3522109;2001;1345;19459;73313
3522158;2001;59;740;3249
3522208;2001;3693;38903;132225
3522307;2001;2427;34479;127547
3522406;2001;1984;22749;83638
3522505;2001;3718;47570;165752
3522604;2001;862;17216;63928
3522653;2001;90;821;3625
3522703;2001;521;10217;37997
3522802;2001;244;3742;14392
3522901;2001;145;2741;10531
3523008;2001;34;975;3888
3523107;2001;6008;79040;277321
3523206;2001;941;12352;46771
3523305;2001;200;3389;13778
3523404;2001;1321;23703;83132
3523503;2001;312;4071;15696
3523602;2001;215;3056;13105
3523701;2001;86;1363;5476
3523800;2001;95;1910;7483
3523909;2001;2428;38898;137169
3524006;2001;456;7913;27838
3524105;2001;569;10085;36523
3524204;2001;80;1638;6435
3524303;2001;1025;19090;67879
